DATA SET,DATE,PLAYER FULL NAME,POSITION,OWN TEAM,OPP TEAM,VENUE (R/H),MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
2016-2017 Playoffs Season,4/21/17,Trevor Ariza,SF,Houston,Oklahoma City,R,39.3,2,9,0,4,3,3,2,6,8,0,1,0,0,0,7
2016-2017 Playoffs Season,4/21/17,Ryan Anderson,PF,Houston,Oklahoma City,R,33.2,8,14,2,7,0,0,2,4,6,0,4,1,1,0,18
2016-2017 Playoffs Season,4/21/17,Clint Capela,C,Houston,Oklahoma City,R,23.3,2,5,0,0,1,3,1,1,2,0,2,1,1,3,5
2016-2017 Playoffs Season,4/21/17,James Harden,PG,Houston,Oklahoma City,R,38.3,11,21,4,12,18,18,1,5,6,6,5,0,7,1,44
2016-2017 Playoffs Season,4/21/17,Patrick Beverley,SG,Houston,Oklahoma City,R,24.7,0,6,0,3,1,2,2,5,7,2,6,0,3,0,1
2016-2017 Playoffs Season,4/21/17,Eric Gordon,SG,Houston,Oklahoma City,R,36.3,5,11,1,5,1,1,0,3,3,1,3,2,0,1,12
2016-2017 Playoffs Season,4/21/17,Lou Williams,SG,Houston,Oklahoma City,R,30.1,9,15,3,4,1,2,2,2,4,1,1,0,0,0,22
2016-2017 Playoffs Season,4/21/17,Nene,C,Houston,Oklahoma City,R,14.9,1,2,0,0,2,4,1,5,6,0,2,0,1,1,4
2016-2017 Playoffs Season,4/21/17,Andre Roberson,SF,Oklahoma City,Houston,H,38.5,5,8,2,3,0,5,3,3,6,4,3,2,0,3,12
2016-2017 Playoffs Season,4/21/17,Taj Gibson,PF,Oklahoma City,Houston,H,29.4,10,13,0,0,0,0,0,2,2,1,2,0,5,0,20
2016-2017 Playoffs Season,4/21/17,Steven Adams,C,Oklahoma City,Houston,H,25.8,2,5,0,0,0,0,3,3,6,2,2,1,0,0,4
2016-2017 Playoffs Season,4/21/17,Victor Oladipo,SG,Oklahoma City,Houston,H,34.8,5,8,2,3,0,0,1,5,6,2,4,2,1,0,12
2016-2017 Playoffs Season,4/21/17,Russell Westbrook,PG,Oklahoma City,Houston,H,38.5,11,24,0,1,10,14,0,13,13,11,3,3,5,0,32
2016-2017 Playoffs Season,4/21/17,Alex Abrines,SG,Oklahoma City,Houston,H,17.8,2,5,2,5,2,2,1,2,3,1,2,0,0,0,8
2016-2017 Playoffs Season,4/21/17,Doug McDermott,SF,Oklahoma City,Houston,H,16.3,2,4,2,4,0,0,0,1,1,0,1,0,0,1,6
2016-2017 Playoffs Season,4/21/17,Norris Cole,PG,Oklahoma City,Houston,H,9.5,2,3,1,2,0,0,0,0,0,1,1,0,0,0,5
2016-2017 Playoffs Season,4/21/17,Enes Kanter,C,Oklahoma City,Houston,H,10.5,4,8,0,0,2,2,1,1,2,0,1,0,0,1,10
2016-2017 Playoffs Season,4/21/17,Jerami Grant,SF,Oklahoma City,Houston,H,19,3,5,0,1,0,0,0,1,1,2,2,0,0,0,6
2016-2017 Playoffs Season,4/21/17,Luc Mbah a Moute,PF,LA Clippers,Utah,R,36.5,6,9,1,2,2,4,3,3,6,1,3,1,0,1,15
2016-2017 Playoffs Season,4/21/17,Blake Griffin,PF,LA Clippers,Utah,R,18,5,9,1,1,0,0,1,5,6,2,0,1,0,0,11
2016-2017 Playoffs Season,4/21/17,DeAndre Jordan,C,LA Clippers,Utah,R,38.7,5,7,0,0,7,14,4,9,13,1,5,0,4,1,17
2016-2017 Playoffs Season,4/21/17,JJ Redick,SG,LA Clippers,Utah,R,27.1,2,5,1,3,3,4,0,3,3,0,4,0,1,0,8
2016-2017 Playoffs Season,4/21/17,Chris Paul,PG,LA Clippers,Utah,R,36.2,12,22,2,5,8,8,1,6,7,10,3,2,2,0,34
2016-2017 Playoffs Season,4/21/17,Jamal Crawford,SG,LA Clippers,Utah,R,26.7,4,10,0,2,1,1,0,0,0,1,0,2,1,0,9
2016-2017 Playoffs Season,4/21/17,Paul Pierce,SF,LA Clippers,Utah,R,20.5,0,1,0,1,0,0,0,3,3,0,1,1,0,0,0
2016-2017 Playoffs Season,4/21/17,Raymond Felton,PG,LA Clippers,Utah,R,14.2,4,6,1,1,0,0,0,0,0,1,1,0,0,0,9
2016-2017 Playoffs Season,4/21/17,Wesley Johnson,SF,LA Clippers,Utah,R,3.5,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
2016-2017 Playoffs Season,4/21/17,Marreese Speights,C,LA Clippers,Utah,R,18.6,3,6,1,4,1,2,0,2,2,0,2,1,0,1,8
2016-2017 Playoffs Season,4/21/17,Gordon Hayward,SF,Utah,LA Clippers,H,42.1,13,21,4,8,10,11,0,8,8,4,4,0,5,2,40
2016-2017 Playoffs Season,4/21/17,Boris Diaw,PF,Utah,LA Clippers,H,23.8,0,1,0,1,3,4,0,1,1,1,2,2,3,0,3
2016-2017 Playoffs Season,4/21/17,Derrick Favors,PF,Utah,LA Clippers,H,38.2,1,3,0,0,0,2,1,5,6,2,5,1,1,0,2
2016-2017 Playoffs Season,4/21/17,Joe Ingles,SF,Utah,LA Clippers,H,34.1,3,8,3,8,0,1,0,3,3,5,4,1,1,0,9
2016-2017 Playoffs Season,4/21/17,George Hill,PG,Utah,LA Clippers,H,36.3,9,15,4,6,4,6,1,3,4,3,5,1,0,0,26
2016-2017 Playoffs Season,4/21/17,Joe Johnson,SF,Utah,LA Clippers,H,34,6,13,1,6,2,2,1,1,2,1,5,0,1,0,15
2016-2017 Playoffs Season,4/21/17,Shelvin Mack,PG,Utah,LA Clippers,H,8.5,0,2,0,1,0,0,0,3,3,0,0,0,0,0,0
2016-2017 Playoffs Season,4/21/17,Rodney Hood,SG,Utah,LA Clippers,H,19.9,2,4,1,3,1,3,0,0,0,0,1,0,0,0,6
2016-2017 Playoffs Season,4/21/17,Raul Neto,PG,Utah,LA Clippers,H,3.3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,5
2016-2017 Playoffs Season,4/22/17,Norman Powell,SG,Toronto,Milwaukee,R,34.2,3,7,3,3,3,4,0,4,4,4,4,0,0,1,12
2016-2017 Playoffs Season,4/22/17,DeMarre Carroll,SF,Toronto,Milwaukee,R,19.6,1,6,0,3,0,0,1,5,6,0,1,2,0,0,2
2016-2017 Playoffs Season,4/22/17,Serge Ibaka,PF,Toronto,Milwaukee,R,25.7,4,16,0,5,2,2,2,6,8,1,4,2,1,3,10
2016-2017 Playoffs Season,4/22/17,DeMar DeRozan,SG,Toronto,Milwaukee,R,39.9,12,22,0,1,9,9,0,9,9,5,2,4,4,0,33
2016-2017 Playoffs Season,4/22/17,Kyle Lowry,PG,Toronto,Milwaukee,R,42.9,8,17,2,8,0,0,1,3,4,4,1,1,0,1,18
2016-2017 Playoffs Season,4/22/17,PJ Tucker,SF,Toronto,Milwaukee,R,28.4,0,2,0,2,0,0,0,1,1,0,3,0,0,0,0
2016-2017 Playoffs Season,4/22/17,Patrick Patterson,PF,Toronto,Milwaukee,R,7.8,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0
2016-2017 Playoffs Season,4/22/17,Jonas Valanciunas,C,Toronto,Milwaukee,R,22.3,5,5,0,0,2,2,0,5,5,0,4,1,4,0,12
2016-2017 Playoffs Season,4/22/17,Cory Joseph,SG,Toronto,Milwaukee,R,7.8,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0
2016-2017 Playoffs Season,4/22/17,Delon Wright,PG,Toronto,Milwaukee,R,11.5,0,0,0,0,0,0,0,3,3,1,0,1,1,1,0
2016-2017 Playoffs Season,4/22/17,Khris Middleton,PF,Milwaukee,Toronto,H,36.5,4,13,0,3,2,3,0,11,11,3,3,1,4,0,10
2016-2017 Playoffs Season,4/22/17,Giannis Antetokounmpo,SG,Milwaukee,Toronto,H,42.4,6,19,0,1,2,4,3,6,9,4,4,2,7,2,14
2016-2017 Playoffs Season,4/22/17,Thon Maker,PF,Milwaukee,Toronto,H,23.6,3,7,0,2,1,1,2,2,4,2,5,2,1,0,7
2016-2017 Playoffs Season,4/22/17,Tony Snell,SF,Milwaukee,Toronto,H,37.6,7,12,5,10,0,0,1,3,4,0,3,0,1,0,19
2016-2017 Playoffs Season,4/22/17,Malcolm Brogdon,SG,Milwaukee,Toronto,H,27.8,1,4,0,1,0,0,0,5,5,3,1,0,4,0,2
2016-2017 Playoffs Season,4/22/17,Matthew Dellavedova,PG,Milwaukee,Toronto,H,20.2,1,4,0,0,0,0,0,2,2,3,1,0,1,0,2
2016-2017 Playoffs Season,4/22/17,Greg Monroe,C,Milwaukee,Toronto,H,24.4,4,9,0,0,6,10,5,4,9,1,1,2,1,1,14
2016-2017 Playoffs Season,4/22/17,Michael Beasley,SF,Milwaukee,Toronto,H,15,2,9,0,2,0,0,2,3,5,0,2,0,0,0,4
2016-2017 Playoffs Season,4/22/17,Jason Terry,SG,Milwaukee,Toronto,H,12.6,2,4,0,2,0,0,0,1,1,0,1,1,1,0,4
2016-2017 Playoffs Season,4/22/17,Otto Porter Jr.,SF,Washington,Atlanta,R,23.9,3,7,1,3,0,0,1,1,2,0,2,1,1,0,7
2016-2017 Playoffs Season,4/22/17,Markieff Morris,PF,Washington,Atlanta,R,29.3,4,14,1,4,0,0,0,6,6,0,5,1,2,2,9
2016-2017 Playoffs Season,4/22/17,Marcin Gortat,C,Washington,Atlanta,R,28.8,1,4,0,0,0,0,2,6,8,0,2,0,0,1,2
2016-2017 Playoffs Season,4/22/17,Bradley Beal,SG,Washington,Atlanta,R,35.5,6,20,0,6,0,0,1,4,5,1,3,0,1,1,12
2016-2017 Playoffs Season,4/22/17,John Wall,PG,Washington,Atlanta,R,31.6,10,12,1,1,8,10,0,4,4,7,2,1,3,0,29
2016-2017 Playoffs Season,4/22/17,Kelly Oubre Jr.,SF,Washington,Atlanta,R,23.5,3,11,3,7,0,0,2,3,5,1,6,2,2,0,9
2016-2017 Playoffs Season,4/22/17,Jason Smith,C,Washington,Atlanta,R,7.6,1,2,0,1,0,0,0,4,4,0,6,0,1,0,2
2016-2017 Playoffs Season,4/22/17,Bojan Bogdanovic,SF,Washington,Atlanta,R,26.9,3,9,0,4,5,6,0,7,7,1,0,0,0,0,11
2016-2017 Playoffs Season,4/22/17,Brandon Jennings,PG,Washington,Atlanta,R,17.2,4,6,1,2,4,4,0,0,0,4,0,0,2,0,13
2016-2017 Playoffs Season,4/22/17,Tomas Satoransky,SG,Washington,Atlanta,R,9,0,0,0,0,0,0,0,1,1,2,1,1,2,0,0
2016-2017 Playoffs Season,4/22/17,Daniel Ochefu,C,Washington,Atlanta,R,3.4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-2017 Playoffs Season,4/22/17,Sheldon McClellan,SG,Washington,Atlanta,R,3.4,2,3,0,1,0,0,0,0,0,0,1,0,0,0,4
2016-2017 Playoffs Season,4/22/17,Taurean Prince,SF,Atlanta,Washington,H,28,7,10,2,2,0,0,0,4,4,0,0,1,0,0,16
2016-2017 Playoffs Season,4/22/17,Paul Millsap,PF,Atlanta,Washington,H,32.6,12,20,0,1,5,9,3,11,14,5,3,1,2,2,29
2016-2017 Playoffs Season,4/22/17,Dwight Howard,C,Atlanta,Washington,H,26.8,2,4,0,0,1,3,2,9,11,2,3,1,0,1,5
2016-2017 Playoffs Season,4/22/17,Tim Hardaway Jr.,SG,Atlanta,Washington,H,29.3,3,9,1,6,1,2,0,1,1,2,2,0,1,0,8
2016-2017 Playoffs Season,4/22/17,Dennis Schroder,PG,Atlanta,Washington,H,31.2,10,22,3,7,4,6,0,2,2,9,4,1,3,0,27
2016-2017 Playoffs Season,4/22/17,Kent Bazemore,SF,Atlanta,Washington,H,21.5,3,8,1,3,1,2,0,3,3,4,0,1,1,1,8
2016-2017 Playoffs Season,4/22/17,Ersan Ilyasova,PF,Atlanta,Washington,H,18.7,1,5,0,1,2,2,2,4,6,0,1,0,1,0,4
2016-2017 Playoffs Season,4/22/17,Mike Dunleavy,SF,Atlanta,Washington,H,14.8,1,2,1,2,0,0,0,1,1,2,1,0,2,0,3
2016-2017 Playoffs Season,4/22/17,Mike Muscala,C,Atlanta,Washington,H,15,0,3,0,1,3,4,4,1,5,0,0,1,0,0,3
2016-2017 Playoffs Season,4/22/17,Jose Calderon,PG,Atlanta,Washington,H,13,2,3,0,1,0,0,0,2,2,2,2,0,1,0,4
2016-2017 Playoffs Season,4/22/17,Malcolm Delaney,PG,Atlanta,Washington,H,3.4,3,3,1,1,1,2,0,1,1,0,0,0,0,0,8
2016-2017 Playoffs Season,4/22/17,Kris Humphries,PF,Atlanta,Washington,H,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-2017 Playoffs Season,4/22/17,Thabo Sefolosha,SF,Atlanta,Washington,H,2.9,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1
2016-2017 Playoffs Season,4/22/17,Kawhi Leonard,SF,San Antonio,Memphis,R,44.2,14,30,7,10,8,8,1,7,8,3,4,6,4,0,43
2016-2017 Playoffs Season,4/22/17,LaMarcus Aldridge,PF,San Antonio,Memphis,R,41.9,6,11,0,1,1,1,0,2,2,1,4,2,1,0,13
2016-2017 Playoffs Season,4/22/17,David Lee,PF,San Antonio,Memphis,R,33.1,3,5,0,0,2,2,2,3,5,2,4,1,0,0,8
2016-2017 Playoffs Season,4/22/17,Danny Green,SG,San Antonio,Memphis,R,25.8,2,9,0,6,1,1,0,1,1,0,2,0,1,1,5
2016-2017 Playoffs Season,4/22/17,Tony Parker,PG,San Antonio,Memphis,R,36.9,9,19,0,2,4,4,0,4,4,5,5,1,2,0,22
2016-2017 Playoffs Season,4/22/17,Patty Mills,PG,San Antonio,Memphis,R,23.4,2,7,1,4,1,1,0,2,2,4,2,1,0,0,6
2016-2017 Playoffs Season,4/22/17,Pau Gasol,C,San Antonio,Memphis,R,21.5,4,7,0,1,0,0,5,6,11,0,3,0,1,0,8
2016-2017 Playoffs Season,4/22/17,Manu Ginobili,SG,San Antonio,Memphis,R,15.8,0,5,0,4,0,0,0,1,1,1,0,0,0,0,0
2016-2017 Playoffs Season,4/22/17,Kyle Anderson,SG,San Antonio,Memphis,R,5.8,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0
2016-2017 Playoffs Season,4/22/17,Davis Bertans,PF,San Antonio,Memphis,R,9.5,1,3,1,2,0,0,0,1,1,0,0,0,0,2,3
2016-2017 Playoffs Season,4/22/17,Jonathon Simmons,SG,San Antonio,Memphis,R,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2017 Playoffs Season,4/22/17,James Ennis III,SF,Memphis,San Antonio,H,32,2,10,0,3,3,3,1,4,5,0,5,0,4,1,7
2016-2017 Playoffs Season,4/22/17,Zach Randolph,PF,Memphis,San Antonio,H,35.1,4,12,0,1,4,4,1,10,11,1,2,0,3,0,12
2016-2017 Playoffs Season,4/22/17,Marc Gasol,C,Memphis,San Antonio,H,45.7,5,12,1,2,5,5,2,10,12,4,3,0,7,1,16
2016-2017 Playoffs Season,4/22/17,Vince Carter,SG,Memphis,San Antonio,H,32.9,5,9,3,5,0,0,1,2,3,2,2,0,4,0,13
2016-2017 Playoffs Season,4/22/17,Mike Conley,PG,Memphis,San Antonio,H,41.9,13,23,4,8,5,7,0,9,9,8,3,1,3,0,35
2016-2017 Playoffs Season,4/22/17,JaMychal Green,PF,Memphis,San Antonio,H,26,5,8,2,3,2,2,1,3,4,0,3,0,1,0,14
2016-2017 Playoffs Season,4/22/17,Andrew Harrison,SG,Memphis,San Antonio,H,19.6,2,2,0,0,3,3,0,3,3,1,3,1,0,1,7
2016-2017 Playoffs Season,4/22/17,Wayne Selden,G,Memphis,San Antonio,H,17.3,0,3,0,2,0,0,1,1,2,3,0,0,0,0,0
2016-2017 Playoffs Season,4/22/17,Troy Daniels,SG,Memphis,San Antonio,H,14.6,2,3,2,3,0,0,1,1,2,0,0,1,0,0,6
2016-2017 Playoffs Season,4/22/17,Patrick McCaw,SG,Golden State,Portland,R,28.6,4,6,1,2,2,4,2,3,5,5,3,3,0,1,11
2016-2017 Playoffs Season,4/22/17,Draymond Green,PF,Golden State,Portland,R,40.1,2,6,2,5,3,4,1,7,8,7,4,2,2,6,9
2016-2017 Playoffs Season,4/22/17,Zaza Pachulia,C,Golden State,Portland,R,10.1,0,4,0,0,0,0,0,5,5,1,0,0,0,1,0
2016-2017 Playoffs Season,4/22/17,Klay Thompson,SG,Golden State,Portland,R,40.6,8,21,4,9,4,6,0,2,2,0,4,3,2,0,24
2016-2017 Playoffs Season,4/22/17,Stephen Curry,PG,Golden State,Portland,R,38.7,10,25,5,14,9,10,1,3,4,8,1,2,1,1,34
2016-2017 Playoffs Season,4/22/17,Andre Iguodala,SF,Golden State,Portland,R,36.1,5,12,0,6,6,7,0,7,7,3,0,0,0,0,16
2016-2017 Playoffs Season,4/22/17,JaVale McGee,C,Golden State,Portland,R,16,6,8,0,0,2,2,1,3,4,0,2,1,0,0,14
2016-2017 Playoffs Season,4/22/17,Ian Clark,SG,Golden State,Portland,R,15.9,2,3,0,0,1,2,0,2,2,0,2,0,0,0,5
2016-2017 Playoffs Season,4/22/17,David West,PF,Golden State,Portland,R,14.1,3,6,0,0,0,0,1,4,5,1,3,0,2,2,6
2016-2017 Playoffs Season,4/22/17,Evan Turner,SG,Portland,Golden State,H,40.5,5,12,1,3,6,10,2,6,8,3,2,1,1,2,17
2016-2017 Playoffs Season,4/22/17,Maurice Harkless,SF,Portland,Golden State,H,19.9,0,4,0,0,1,2,1,0,1,1,3,0,0,0,1
2016-2017 Playoffs Season,4/22/17,Jusuf Nurkic,C,Portland,Golden State,H,16.7,1,3,0,1,0,0,0,11,11,4,1,0,3,1,2
2016-2017 Playoffs Season,4/22/17,CJ McCollum,SG,Portland,Golden State,H,39.1,10,23,6,9,6,6,3,3,6,0,2,2,4,0,32
2016-2017 Playoffs Season,4/22/17,Damian Lillard,PG,Portland,Golden State,H,39.8,10,23,4,13,7,7,0,7,7,4,3,0,2,1,31
2016-2017 Playoffs Season,4/22/17,Noah Vonleh,PF,Portland,Golden State,H,25.4,5,8,0,0,0,0,4,3,7,3,4,0,3,1,10
2016-2017 Playoffs Season,4/22/17,Al-Farouq Aminu,SF,Portland,Golden State,H,31.5,6,13,1,4,1,1,1,8,9,2,1,1,3,1,14
2016-2017 Playoffs Season,4/22/17,Allen Crabbe,SG,Portland,Golden State,H,22.5,2,3,1,2,1,1,0,3,3,0,5,0,0,0,6
2016-2017 Playoffs Season,4/22/17,Shabazz Napier,PG,Portland,Golden State,H,4.8,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0
2016-2017 Playoffs Season,4/23/17,LeBron James,SF,Cleveland,Indiana,R,44.7,13,25,1,3,6,9,0,10,10,4,1,4,4,2,33
2016-2017 Playoffs Season,4/23/17,Kevin Love,PF,Cleveland,Indiana,R,35,2,13,1,5,0,0,5,11,16,3,1,0,4,1,5
2016-2017 Playoffs Season,4/23/17,Tristan Thompson,C,Cleveland,Indiana,R,34.1,2,6,0,0,2,2,7,4,11,1,3,1,1,0,6
2016-2017 Playoffs Season,4/23/17,JR Smith,SG,Cleveland,Indiana,R,28.8,2,4,1,3,0,0,0,2,2,0,3,2,2,1,5
2016-2017 Playoffs Season,4/23/17,Kyrie Irving,PG,Cleveland,Indiana,R,36.7,10,25,1,7,7,7,2,0,2,0,2,1,1,3,28
2016-2017 Playoffs Season,4/23/17,Channing Frye,C,Cleveland,Indiana,R,12.7,2,4,1,3,2,2,0,1,1,2,0,0,0,1,7
2016-2017 Playoffs Season,4/23/17,Kyle Korver,SG,Cleveland,Indiana,R,18.2,1,5,1,5,2,2,0,3,3,0,0,0,1,0,5
2016-2017 Playoffs Season,4/23/17,Iman Shumpert,SG,Cleveland,Indiana,R,16.7,1,4,1,3,0,0,0,1,1,0,1,1,0,0,3
2016-2017 Playoffs Season,4/23/17,Deron Williams,PG,Cleveland,Indiana,R,13.2,4,4,2,2,4,5,1,1,2,1,4,0,0,0,14
2016-2017 Playoffs Season,4/23/17,Paul George,SF,Indiana,Cleveland,H,43.9,5,21,3,9,2,3,2,5,7,6,3,4,4,1,15
2016-2017 Playoffs Season,4/23/17,Thaddeus Young,PF,Indiana,Cleveland,H,33.9,6,14,0,1,1,2,4,6,10,2,1,2,1,0,13
2016-2017 Playoffs Season,4/23/17,Myles Turner,C,Indiana,Cleveland,H,33.2,8,10,0,2,4,6,0,9,9,0,4,0,3,0,20
2016-2017 Playoffs Season,4/23/17,CJ Miles,SF,Indiana,Cleveland,H,25.1,2,5,2,5,0,0,1,2,3,0,2,0,0,1,6
2016-2017 Playoffs Season,4/23/17,Jeff Teague,PG,Indiana,Cleveland,H,39,6,12,1,3,2,3,0,4,4,10,2,2,3,3,15
2016-2017 Playoffs Season,4/23/17,Kevin Seraphin,PF,Indiana,Cleveland,H,14.8,2,6,0,0,0,0,2,0,2,0,2,0,0,1,4
2016-2017 Playoffs Season,4/23/17,Lance Stephenson,SG,Indiana,Cleveland,H,30.2,9,15,4,9,0,1,0,6,6,3,6,0,2,0,22
2016-2017 Playoffs Season,4/23/17,Lavoy Allen,PF,Indiana,Cleveland,H,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2017 Playoffs Season,4/23/17,Monta Ellis,SG,Indiana,Cleveland,H,5.5,0,2,0,1,1,2,0,1,1,0,0,0,1,0,1
2016-2017 Playoffs Season,4/23/17,Glenn Robinson III,SG,Indiana,Cleveland,H,13.1,3,3,0,0,0,0,0,0,0,0,2,0,0,0,6
2016-2017 Playoffs Season,4/23/17,Trevor Ariza,SF,Houston,Oklahoma City,R,42.8,4,8,3,5,3,3,1,4,5,3,3,3,1,0,14
2016-2017 Playoffs Season,4/23/17,Ryan Anderson,PF,Houston,Oklahoma City,R,19.8,2,5,1,3,4,4,3,0,3,0,2,1,3,0,9
2016-2017 Playoffs Season,4/23/17,Clint Capela,C,Houston,Oklahoma City,R,17.6,2,5,0,0,0,0,1,4,5,1,2,0,2,0,4
2016-2017 Playoffs Season,4/23/17,James Harden,PG,Houston,Oklahoma City,R,39.3,5,16,0,7,6,7,0,7,7,8,3,1,7,0,16
2016-2017 Playoffs Season,4/23/17,Patrick Beverley,SG,Houston,Oklahoma City,R,27.2,2,13,2,8,0,0,0,0,0,3,3,5,3,0,6
2016-2017 Playoffs Season,4/23/17,Eric Gordon,SG,Houston,Oklahoma City,R,36.1,5,13,4,7,4,5,2,6,8,1,3,0,1,2,18
2016-2017 Playoffs Season,4/23/17,Lou Williams,SG,Houston,Oklahoma City,R,31.8,5,13,1,5,7,7,2,5,7,2,5,2,1,0,18
2016-2017 Playoffs Season,4/23/17,Nene,C,Houston,Oklahoma City,R,25.4,12,12,0,0,4,7,4,6,10,1,5,1,1,0,28
2016-2017 Playoffs Season,4/23/17,Andre Roberson,SF,Oklahoma City,Houston,H,37.5,5,9,1,2,2,12,3,1,4,0,3,2,3,5,13
2016-2017 Playoffs Season,4/23/17,Taj Gibson,PF,Oklahoma City,Houston,H,22.3,2,5,0,0,2,2,1,1,2,1,3,1,2,0,6
2016-2017 Playoffs Season,4/23/17,Steven Adams,C,Oklahoma City,Houston,H,36.9,8,10,0,0,2,5,4,3,7,2,1,1,2,3,18
2016-2017 Playoffs Season,4/23/17,Victor Oladipo,SG,Oklahoma City,Houston,H,38.8,7,10,1,3,0,0,0,4,4,2,4,2,0,2,15
2016-2017 Playoffs Season,4/23/17,Russell Westbrook,PG,Oklahoma City,Houston,H,38.7,10,28,3,8,12,13,0,14,14,14,2,3,5,1,35
2016-2017 Playoffs Season,4/23/17,Jerami Grant,SF,Oklahoma City,Houston,H,14.4,5,5,0,0,0,0,1,2,3,0,3,0,1,0,10
2016-2017 Playoffs Season,4/23/17,Alex Abrines,SG,Oklahoma City,Houston,H,15.5,2,4,1,2,0,0,1,1,2,1,1,0,0,0,5
2016-2017 Playoffs Season,4/23/17,Doug McDermott,SF,Oklahoma City,Houston,H,19.1,2,6,1,3,0,0,0,1,1,0,0,1,1,1,5
2016-2017 Playoffs Season,4/23/17,Norris Cole,PG,Oklahoma City,Houston,H,9.3,0,3,0,1,0,0,0,1,1,0,2,0,2,1,0
2016-2017 Playoffs Season,4/23/17,Enes Kanter,C,Oklahoma City,Houston,H,7.5,1,5,0,0,0,0,0,2,2,0,1,0,1,1,2
2016-2017 Playoffs Season,4/23/17,Jae Crowder,SF,Boston,Chicago,R,40,5,9,1,4,0,0,0,2,2,1,4,2,1,0,11
2016-2017 Playoffs Season,4/23/17,Gerald Green,SG,Boston,Chicago,R,23,7,13,4,9,0,0,2,5,7,0,1,0,1,0,18
2016-2017 Playoffs Season,4/23/17,Al Horford,C,Boston,Chicago,R,36.5,6,11,1,3,2,2,1,11,12,4,1,1,0,1,15
2016-2017 Playoffs Season,4/23/17,Avery Bradley,SG,Boston,Chicago,R,33.9,3,9,1,6,1,2,1,0,1,2,3,1,3,0,8
2016-2017 Playoffs Season,4/23/17,Isaiah Thomas,PG,Boston,Chicago,R,35.8,10,21,1,9,12,13,0,4,4,7,4,1,5,0,33
2016-2017 Playoffs Season,4/23/17,Terry Rozier,PG,Boston,Chicago,R,11.1,1,4,0,2,0,0,0,1,1,0,0,0,0,0,2
2016-2017 Playoffs Season,4/23/17,Marcus Smart,PG,Boston,Chicago,R,33.2,2,7,1,2,0,0,4,4,8,6,5,1,3,1,5
2016-2017 Playoffs Season,4/23/17,Kelly Olynyk,C,Boston,Chicago,R,15.8,4,4,1,1,1,3,0,3,3,0,4,1,0,1,10
2016-2017 Playoffs Season,4/23/17,Jonas Jerebko,PF,Boston,Chicago,R,9.8,0,3,0,1,2,2,2,1,3,2,2,0,0,1,2
2016-2017 Playoffs Season,4/23/17,Jaylen Brown,SF,Boston,Chicago,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2017 Playoffs Season,4/23/17,Jimmy Butler,SF,Chicago,Boston,H,45.8,7,16,0,3,19,23,1,4,5,9,4,1,1,0,33
2016-2017 Playoffs Season,4/23/17,Nikola Mirotic,PF,Chicago,Boston,H,34.2,4,11,2,8,3,3,0,7,7,1,4,1,1,0,13
2016-2017 Playoffs Season,4/23/17,Robin Lopez,C,Chicago,Boston,H,21.8,4,8,0,0,0,0,6,1,7,0,2,0,2,1,8
2016-2017 Playoffs Season,4/23/17,Dwyane Wade,SG,Chicago,Boston,H,37.7,5,12,0,2,1,1,1,5,6,2,2,1,2,2,11
2016-2017 Playoffs Season,4/23/17,Jerian Grant,PG,Chicago,Boston,H,4.7,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0
2016-2017 Playoffs Season,4/23/17,Michael Carter-Williams,PG,Chicago,Boston,H,8.1,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0
2016-2017 Playoffs Season,4/23/17,Bobby Portis,PF,Chicago,Boston,H,22.7,4,7,0,1,0,0,1,7,8,1,1,0,1,1,8
2016-2017 Playoffs Season,4/23/17,Paul Zipser,SF,Chicago,Boston,H,13.7,0,2,0,1,0,0,1,2,3,0,1,0,1,0,0
2016-2017 Playoffs Season,4/23/17,Cristiano Felicio,C,Chicago,Boston,H,10.3,1,1,0,0,1,2,0,3,3,0,4,0,1,0,3
2016-2017 Playoffs Season,4/23/17,Isaiah Canaan,SG,Chicago,Boston,H,34.1,4,10,3,7,2,4,0,2,2,3,2,2,0,0,13
2016-2017 Playoffs Season,4/23/17,Joffrey Lauvergne,C,Chicago,Boston,H,6.9,3,6,0,1,0,0,2,1,3,1,1,0,1,0,6
2016-2017 Playoffs Season,4/23/17,Luc Mbah a Moute,PF,LA Clippers,Utah,R,33.7,1,8,0,3,3,4,0,5,5,1,0,3,1,0,5
